
                  X              E33_3D5N5F        E33_3D10N5F        E33_3D15N5F        E33_3D20N5F        E33_3D25N5F        E33_3D30N5F        E33_3D35N5F        E33_3D40N5F   
              537.941            -18.751E-06        -37.5019E-06       -56.2529E-06       -75.0039E-06       -93.7549E-06      -112.506E-06       -131.257E-06       -150.008E-06  
              538.529            -18.4534E-06       -36.9069E-06       -55.3603E-06       -73.8138E-06       -92.2672E-06      -110.721E-06       -129.174E-06       -147.628E-06  
              539.118            -18.1559E-06       -36.3118E-06       -54.4678E-06       -72.6237E-06       -90.7796E-06      -108.936E-06       -127.091E-06       -145.247E-06  
              539.706            -17.8584E-06       -35.7169E-06       -53.5753E-06       -71.4337E-06       -89.2921E-06      -107.151E-06       -125.009E-06       -142.867E-06  
              540.294            -17.5609E-06       -35.1218E-06       -52.6828E-06       -70.2437E-06       -87.8046E-06      -105.366E-06       -122.926E-06       -140.487E-06  
              540.882            -17.2634E-06       -34.5269E-06       -51.7903E-06       -69.0538E-06       -86.3172E-06      -103.581E-06       -120.844E-06       -138.108E-06  
              541.471            -16.9659E-06       -33.9319E-06       -50.8978E-06       -67.8638E-06       -84.8297E-06      -101.796E-06       -118.762E-06       -135.728E-06  
              542.059            -16.6685E-06       -33.337E-06        -50.0055E-06       -66.6739E-06       -83.3424E-06      -100.011E-06       -116.679E-06       -133.348E-06  
              542.647            -16.371E-06        -32.742E-06        -49.113E-06        -65.4841E-06       -81.8551E-06       -98.2261E-06      -114.597E-06       -130.968E-06  
              543.235            -16.0736E-06       -32.1472E-06       -48.2207E-06       -64.2943E-06       -80.3679E-06       -96.4415E-06      -112.515E-06       -128.589E-06  
              543.824            -15.7761E-06       -31.5523E-06       -47.3284E-06       -63.1045E-06       -78.8807E-06       -94.6568E-06      -110.433E-06       -126.209E-06  
              544.412            -15.4787E-06       -30.9575E-06       -46.4362E-06       -61.915E-06        -77.3937E-06       -92.8725E-06      -108.351E-06       -123.83E-06   
              545.               -15.1813E-06       -30.3626E-06       -45.544E-06        -60.7253E-06       -75.9066E-06       -91.0879E-06      -106.269E-06       -121.451E-06  
              545.588            -14.884E-06        -29.7679E-06       -44.6519E-06       -59.5359E-06       -74.4198E-06       -89.3038E-06      -104.188E-06       -119.072E-06  
              546.176            -14.5866E-06       -29.1732E-06       -43.7598E-06       -58.3463E-06       -72.9329E-06       -87.5195E-06      -102.106E-06       -116.693E-06  
              546.765            -14.2893E-06       -28.5786E-06       -42.8678E-06       -57.1571E-06       -71.4464E-06       -85.7357E-06      -100.025E-06       -114.314E-06  
              547.353            -13.9919E-06       -27.9839E-06       -41.9758E-06       -55.9677E-06       -69.9597E-06       -83.9516E-06       -97.9435E-06      -111.935E-06  
              547.941            -13.6947E-06       -27.3894E-06       -41.0841E-06       -54.7788E-06       -68.4734E-06       -82.1681E-06       -95.8628E-06      -109.558E-06  
              548.529            -13.3974E-06       -26.7948E-06       -40.1922E-06       -53.5896E-06       -66.9869E-06       -80.3843E-06       -93.7817E-06      -107.179E-06  
              549.118            -13.1002E-06       -26.2004E-06       -39.3006E-06       -52.4008E-06       -65.501E-06        -78.6013E-06       -91.7015E-06      -104.802E-06  
              549.706            -12.803E-06        -25.6059E-06       -38.4089E-06       -51.2119E-06       -64.0149E-06       -76.8178E-06       -89.6208E-06      -102.424E-06  
              550.294            -12.5059E-06       -25.0118E-06       -37.5176E-06       -50.0235E-06       -62.5294E-06       -75.0353E-06       -87.5412E-06      -100.047E-06  
              550.882            -12.2087E-06       -24.4174E-06       -36.6261E-06       -48.8348E-06       -61.0435E-06       -73.2522E-06       -85.461E-06        -97.6697E-06 
              551.471            -11.9117E-06       -23.8234E-06       -35.7351E-06       -47.6468E-06       -59.5585E-06       -71.4702E-06       -83.3819E-06       -95.2936E-06 
              552.059            -11.6146E-06       -23.2292E-06       -34.8438E-06       -46.4584E-06       -58.073E-06        -69.6876E-06       -81.3022E-06       -92.9168E-06 
              552.647            -11.3177E-06       -22.6354E-06       -33.9531E-06       -45.2709E-06       -56.5886E-06       -67.9063E-06       -79.224E-06        -90.5417E-06 
              553.235            -11.0207E-06       -22.0414E-06       -33.0621E-06       -44.0828E-06       -55.1034E-06       -66.1241E-06       -77.1448E-06       -88.1655E-06 
              553.824            -10.7239E-06       -21.4479E-06       -32.1718E-06       -42.8957E-06       -53.6197E-06       -64.3436E-06       -75.0676E-06       -85.7915E-06 
              554.412            -10.427E-06        -20.854E-06        -31.281E-06        -41.708E-06        -52.135E-06        -62.562E-06        -72.989E-06        -83.416E-06  
