X	E33_3D40N1F	E33_3D40N2F	E33_3D40N3F	E33_3D40N4F	E33_3D40N5F
52.2391	NoValue	NoValue	NoValue	NoValue	9.38E-05
52.8261	1.95E-09	7.56E-05	8.53E-05	9.10E-05	9.48E-05
53.413	NoValue	NoValue	NoValue	NoValue	9.59E-05
53.5598	NoValue	NoValue	NoValue	9.23E-05	NoValue
53.8043	NoValue	NoValue	8.68E-05	NoValue	NoValue
54	NoValue	NoValue	NoValue	NoValue	9.69E-05
54.2935	NoValue	7.77E-05	NoValue	9.35E-05	NoValue
54.587	NoValue	NoValue	NoValue	NoValue	9.80E-05
54.7826	NoValue	NoValue	8.84E-05	NoValue	NoValue
55.0272	NoValue	NoValue	NoValue	9.48E-05	NoValue
55.1739	NoValue	NoValue	NoValue	NoValue	9.90E-05
55.7609	-1.51E-09	7.98E-05	9.00E-05	9.61E-05	1.00E-04
56.3478	NoValue	NoValue	NoValue	NoValue	1.01E-04
56.4946	NoValue	NoValue	NoValue	9.73E-05	NoValue
56.7391	NoValue	NoValue	9.16E-05	NoValue	NoValue
56.9348	NoValue	NoValue	NoValue	NoValue	1.02E-04
57.2283	NoValue	8.19E-05	NoValue	9.86E-05	NoValue
57.5217	NoValue	NoValue	NoValue	NoValue	1.03E-04
57.7174	NoValue	NoValue	9.32E-05	NoValue	NoValue
57.962	NoValue	NoValue	NoValue	9.99E-05	NoValue
58.1087	NoValue	NoValue	NoValue	NoValue	1.04E-04
58.6957	1.08E-09	8.40E-05	9.47E-05	1.01E-04	1.05E-04
59.2826	NoValue	NoValue	NoValue	NoValue	1.06E-04
59.4293	NoValue	NoValue	NoValue	1.02E-04	NoValue
59.6739	NoValue	NoValue	9.63E-05	NoValue	NoValue
59.8696	NoValue	NoValue	NoValue	NoValue	1.07E-04
60.163	NoValue	8.61E-05	NoValue	1.04E-04	NoValue
60.4565	NoValue	NoValue	NoValue	NoValue	1.09E-04
60.6522	NoValue	NoValue	9.79E-05	NoValue	NoValue
60.8967	NoValue	NoValue	NoValue	1.05E-04	NoValue
61.0435	NoValue	NoValue	NoValue	NoValue	1.10E-04
61.6304	-6.65E-10	8.82E-05	9.95E-05	1.06E-04	1.11E-04
62.2174	NoValue	NoValue	NoValue	NoValue	1.12E-04
62.3641	NoValue	NoValue	NoValue	1.07E-04	NoValue
62.6087	NoValue	NoValue	1.01E-04	NoValue	NoValue
62.8043	NoValue	NoValue	NoValue	NoValue	1.13E-04
63.0978	NoValue	9.03E-05	NoValue	1.09E-04	NoValue
63.3913	NoValue	NoValue	NoValue	NoValue	1.14E-04
63.587	NoValue	NoValue	1.03E-04	NoValue	NoValue
63.8315	NoValue	NoValue	NoValue	1.10E-04	NoValue
63.9783	NoValue	NoValue	NoValue	NoValue	1.15E-04
64.5652	2.59E-10	9.24E-05	1.04E-04	1.11E-04	1.16E-04
65.1522	NoValue	NoValue	NoValue	NoValue	1.17E-04
65.2989	NoValue	NoValue	NoValue	1.12E-04	NoValue
65.5435	NoValue	NoValue	1.06E-04	NoValue	NoValue
65.7391	NoValue	NoValue	NoValue	NoValue	1.18E-04
66.0326	NoValue	9.45E-05	NoValue	1.14E-04	NoValue
66.3261	NoValue	NoValue	NoValue	NoValue	1.19E-04
66.5217	NoValue	NoValue	1.07E-04	NoValue	NoValue
66.7663	NoValue	NoValue	NoValue	1.15E-04	NoValue
66.913	NoValue	NoValue	NoValue	NoValue	1.20E-04
67.5	1.45E-10	9.66E-05	1.09E-04	1.16E-04	1.21E-04
68.087	NoValue	NoValue	NoValue	NoValue	1.22E-04
68.2337	NoValue	NoValue	NoValue	1.18E-04	NoValue
68.4783	NoValue	NoValue	1.11E-04	NoValue	NoValue
68.6739	NoValue	NoValue	NoValue	NoValue	1.23E-04
68.9674	NoValue	9.87E-05	NoValue	1.19E-04	NoValue
69.2609	NoValue	NoValue	NoValue	NoValue	1.24E-04
69.4565	NoValue	NoValue	1.12E-04	NoValue	NoValue
69.7011	NoValue	NoValue	NoValue	1.20E-04	NoValue
69.8478	NoValue	NoValue	NoValue	NoValue	1.25E-04
70.4348	-5.50E-10	1.01E-04	1.14E-04	1.21E-04	1.26E-04
71.0217	NoValue	NoValue	NoValue	NoValue	1.27E-04
71.1685	NoValue	NoValue	NoValue	1.23E-04	NoValue
71.413	NoValue	NoValue	1.15E-04	NoValue	NoValue
71.6087	NoValue	NoValue	NoValue	NoValue	1.29E-04
71.9022	NoValue	1.03E-04	NoValue	1.24E-04	NoValue
72.1957	NoValue	NoValue	NoValue	NoValue	1.30E-04
72.3913	NoValue	NoValue	1.17E-04	NoValue	NoValue
72.6359	NoValue	NoValue	NoValue	1.25E-04	NoValue
72.7826	NoValue	NoValue	NoValue	NoValue	1.31E-04
73.3696	9.63E-10	1.05E-04	1.18E-04	1.26E-04	1.32E-04
73.9565	NoValue	NoValue	NoValue	NoValue	1.33E-04
74.1033	NoValue	NoValue	NoValue	1.28E-04	NoValue
74.3478	NoValue	NoValue	1.20E-04	NoValue	NoValue
74.5435	NoValue	NoValue	NoValue	NoValue	1.34E-04
74.837	NoValue	1.07E-04	NoValue	1.29E-04	NoValue
75.1304	NoValue	NoValue	NoValue	NoValue	1.35E-04
75.3261	NoValue	NoValue	1.22E-04	NoValue	NoValue
75.5707	NoValue	NoValue	NoValue	1.30E-04	NoValue
75.7174	NoValue	NoValue	NoValue	NoValue	1.36E-04
76.3043	-1.39E-09	1.09E-04	1.23E-04	1.31E-04	1.37E-04
76.8913	NoValue	NoValue	NoValue	NoValue	1.38E-04
77.038	NoValue	NoValue	NoValue	1.33E-04	NoValue
77.2826	NoValue	NoValue	1.25E-04	NoValue	NoValue
77.4783	NoValue	NoValue	NoValue	NoValue	1.39E-04
77.7717	NoValue	1.11E-04	NoValue	1.34E-04	NoValue
78.0652	NoValue	NoValue	NoValue	NoValue	1.40E-04
78.2609	NoValue	NoValue	1.26E-04	NoValue	NoValue
78.5054	NoValue	NoValue	NoValue	1.35E-04	NoValue
78.6522	NoValue	NoValue	NoValue	NoValue	1.41E-04
79.2391	1.83E-09	1.13E-04	1.28E-04	1.37E-04	1.42E-04
79.8261	NoValue	NoValue	NoValue	NoValue	1.43E-04
79.9728	NoValue	NoValue	NoValue	1.38E-04	NoValue
80.2174	NoValue	NoValue	1.29E-04	NoValue	NoValue
80.413	NoValue	NoValue	NoValue	NoValue	1.44E-04
80.7065	NoValue	1.16E-04	NoValue	1.39E-04	NoValue
81	NoValue	NoValue	NoValue	NoValue	1.45E-04
81.1957	NoValue	NoValue	1.31E-04	NoValue	NoValue
81.4402	NoValue	NoValue	NoValue	1.40E-04	NoValue
81.587	NoValue	NoValue	NoValue	NoValue	1.46E-04
82.1739	-2.30E-09	1.18E-04	1.33E-04	1.42E-04	1.47E-04
82.7609	NoValue	NoValue	NoValue	NoValue	1.49E-04
82.9076	NoValue	NoValue	NoValue	1.43E-04	NoValue
83.1522	NoValue	NoValue	1.34E-04	NoValue	NoValue
83.3478	NoValue	NoValue	NoValue	NoValue	1.50E-04
83.6413	NoValue	1.20E-04	NoValue	1.44E-04	NoValue
83.9348	NoValue	NoValue	NoValue	NoValue	1.51E-04
84.1304	NoValue	NoValue	1.36E-04	NoValue	NoValue
84.375	NoValue	NoValue	NoValue	1.45E-04	NoValue
84.5217	NoValue	NoValue	NoValue	NoValue	1.52E-04
85.1087	2.79E-09	1.22E-04	1.37E-04	1.47E-04	1.53E-04
85.6957	NoValue	NoValue	NoValue	NoValue	1.54E-04
85.8424	NoValue	NoValue	NoValue	1.48E-04	NoValue
86.087	NoValue	NoValue	1.39E-04	NoValue	NoValue
86.2826	NoValue	NoValue	NoValue	NoValue	1.55E-04
86.5761	NoValue	1.24E-04	NoValue	1.49E-04	NoValue
86.8696	NoValue	NoValue	NoValue	NoValue	1.56E-04
87.0652	NoValue	NoValue	1.41E-04	NoValue	NoValue
87.3098	NoValue	NoValue	NoValue	1.50E-04	NoValue
87.4565	NoValue	NoValue	NoValue	NoValue	1.57E-04
88.0435	-3.32E-09	1.26E-04	1.42E-04	1.52E-04	1.58E-04
88.6304	NoValue	NoValue	NoValue	NoValue	1.59E-04
88.7772	NoValue	NoValue	NoValue	1.53E-04	NoValue
89.0217	NoValue	NoValue	1.44E-04	NoValue	NoValue
89.2174	NoValue	NoValue	NoValue	NoValue	1.60E-04
89.5109	NoValue	1.28E-04	NoValue	1.54E-04	NoValue
89.8043	NoValue	NoValue	NoValue	NoValue	1.61E-04
90	NoValue	NoValue	1.45E-04	NoValue	NoValue
90.2446	NoValue	NoValue	NoValue	1.55E-04	NoValue
90.3913	NoValue	NoValue	NoValue	NoValue	1.62E-04
90.9783	3.88E-09	1.30E-04	1.47E-04	1.57E-04	1.63E-04
91.5652	NoValue	NoValue	NoValue	NoValue	1.64E-04
91.712	NoValue	NoValue	NoValue	1.58E-04	NoValue
91.9565	NoValue	NoValue	1.48E-04	NoValue	NoValue
92.1522	NoValue	NoValue	NoValue	NoValue	1.65E-04
92.4457	NoValue	1.32E-04	NoValue	1.59E-04	NoValue
92.7391	NoValue	NoValue	NoValue	NoValue	1.66E-04
92.9348	NoValue	NoValue	1.50E-04	NoValue	NoValue
93.1793	NoValue	NoValue	NoValue	1.60E-04	NoValue
93.3261	NoValue	NoValue	NoValue	NoValue	1.67E-04
93.913	-4.52E-09	1.34E-04	1.52E-04	1.62E-04	1.69E-04
94.5	NoValue	NoValue	NoValue	NoValue	1.70E-04
94.6467	NoValue	NoValue	NoValue	1.63E-04	NoValue
94.8913	NoValue	NoValue	1.53E-04	NoValue	NoValue
95.087	NoValue	NoValue	NoValue	NoValue	1.71E-04
95.3804	NoValue	1.36E-04	NoValue	1.64E-04	NoValue
95.6739	NoValue	NoValue	NoValue	NoValue	1.72E-04
95.8696	NoValue	NoValue	1.55E-04	NoValue	NoValue
96.1141	NoValue	NoValue	NoValue	1.65E-04	NoValue
96.2609	NoValue	NoValue	NoValue	NoValue	1.73E-04
96.8478	5.14E-09	1.39E-04	1.56E-04	1.67E-04	1.74E-04
97.4348	NoValue	NoValue	NoValue	NoValue	1.75E-04
97.5815	NoValue	NoValue	NoValue	1.68E-04	NoValue
97.8261	NoValue	NoValue	1.58E-04	NoValue	NoValue
98.0217	NoValue	NoValue	NoValue	NoValue	1.76E-04
98.3152	NoValue	1.41E-04	NoValue	1.69E-04	NoValue
98.6087	NoValue	NoValue	NoValue	NoValue	1.77E-04
98.8043	NoValue	NoValue	1.59E-04	NoValue	NoValue
99.0489	NoValue	NoValue	NoValue	1.70E-04	NoValue
99.1957	NoValue	NoValue	NoValue	NoValue	1.78E-04
99.7826	-5.96E-09	1.43E-04	1.61E-04	1.72E-04	1.79E-04
100.37	NoValue	NoValue	NoValue	NoValue	1.80E-04
100.516	NoValue	NoValue	NoValue	1.73E-04	NoValue
100.761	NoValue	NoValue	1.62E-04	NoValue	NoValue
100.957	NoValue	NoValue	NoValue	NoValue	1.81E-04
101.25	NoValue	1.45E-04	NoValue	1.74E-04	NoValue
101.543	NoValue	NoValue	NoValue	NoValue	1.82E-04
101.739	NoValue	NoValue	1.64E-04	NoValue	NoValue
101.984	NoValue	NoValue	NoValue	1.75E-04	NoValue
102.13	NoValue	NoValue	NoValue	NoValue	1.83E-04
102.717	6.65E-09	1.47E-04	1.66E-04	1.77E-04	1.84E-04
103.304	NoValue	NoValue	NoValue	NoValue	1.85E-04
103.451	NoValue	NoValue	NoValue	1.78E-04	NoValue
103.696	NoValue	NoValue	1.67E-04	NoValue	NoValue
103.891	NoValue	NoValue	NoValue	NoValue	1.86E-04
104.185	NoValue	1.49E-04	NoValue	1.79E-04	NoValue
104.478	NoValue	NoValue	NoValue	NoValue	1.87E-04
104.674	NoValue	NoValue	1.69E-04	NoValue	NoValue
104.918	NoValue	NoValue	NoValue	1.80E-04	NoValue
105.065	NoValue	NoValue	NoValue	NoValue	1.88E-04
105.652	-7.63E-09	1.51E-04	1.70E-04	1.82E-04	1.89E-04
106.239	NoValue	NoValue	NoValue	NoValue	1.90E-04
106.386	NoValue	NoValue	NoValue	1.83E-04	NoValue
106.63	NoValue	NoValue	1.72E-04	NoValue	NoValue
106.826	NoValue	NoValue	NoValue	NoValue	1.91E-04
107.12	NoValue	1.53E-04	NoValue	1.84E-04	NoValue
107.413	NoValue	NoValue	NoValue	NoValue	1.92E-04
107.609	NoValue	NoValue	1.73E-04	NoValue	NoValue
107.853	NoValue	NoValue	NoValue	1.85E-04	NoValue
108	NoValue	NoValue	NoValue	NoValue	1.93E-04
108.587	8.73E-09	1.55E-04	1.75E-04	1.86E-04	1.94E-04
109.174	NoValue	NoValue	NoValue	NoValue	1.95E-04
109.321	NoValue	NoValue	NoValue	1.88E-04	NoValue
109.565	NoValue	NoValue	1.76E-04	NoValue	NoValue
109.761	NoValue	NoValue	NoValue	NoValue	1.96E-04
110.054	NoValue	1.57E-04	NoValue	1.89E-04	NoValue
110.348	NoValue	NoValue	NoValue	NoValue	1.97E-04
110.543	NoValue	NoValue	1.78E-04	NoValue	NoValue
110.788	NoValue	NoValue	NoValue	1.90E-04	NoValue
110.935	NoValue	NoValue	NoValue	NoValue	1.98E-04
111.522	-9.01E-09	1.59E-04	1.79E-04	1.91E-04	1.99E-04
112.109	NoValue	NoValue	NoValue	NoValue	2.00E-04
112.255	NoValue	NoValue	NoValue	1.92E-04	NoValue
112.5	NoValue	NoValue	1.80E-04	NoValue	NoValue
112.696	NoValue	NoValue	NoValue	NoValue	2.01E-04
