
                  X             E11_1D40N10F       E11_1D40N20F       E11_1D40N50F      E11_1D40N100F  
              465.               534.683E-06        534.683E-06        534.682E-06        534.683E-06  
              470.               510.379E-06        510.379E-06        510.379E-06        510.379E-06  
              475.               486.075E-06        486.075E-06        486.075E-06        486.075E-06  
              476.               481.214E-06        481.214E-06        481.214E-06        481.214E-06  
              480.               461.771E-06        461.771E-06        461.771E-06        461.771E-06  
              485.               437.468E-06        437.468E-06        437.468E-06        437.468E-06  
              487.               427.746E-06        427.746E-06        427.746E-06        427.746E-06  
              490.               413.164E-06        413.164E-06        413.164E-06        413.164E-06  
              492.5              401.012E-06        401.012E-06        401.012E-06        401.012E-06  
              495.               388.86E-06         388.86E-06         388.86E-06         388.86E-06   
              498.               374.278E-06        374.278E-06        374.278E-06        374.278E-06  
              500.               364.556E-06        364.556E-06        364.556E-06        364.556E-06  
              505.               340.253E-06        340.253E-06        340.253E-06        340.253E-06  
              509.               320.81E-06         320.81E-06         320.81E-06         320.81E-06   
              510.               315.949E-06        315.949E-06        315.949E-06        315.949E-06  
              515.               291.645E-06        291.645E-06        291.645E-06        291.645E-06  
              520.               267.341E-06        267.341E-06        267.341E-06        267.341E-06  
              525.               243.038E-06        243.038E-06        243.038E-06        243.038E-06  
              530.               218.734E-06        218.734E-06        218.734E-06        218.734E-06  
              531.               213.873E-06        213.873E-06        213.873E-06        213.873E-06  
              535.               194.43E-06         194.43E-06         194.43E-06         194.43E-06   
              540.               170.126E-06        170.126E-06        170.126E-06        170.126E-06  
              542.               160.405E-06        160.405E-06        160.405E-06        160.405E-06  
              545.               145.822E-06        145.823E-06        145.823E-06        145.823E-06  
              547.5              133.671E-06        133.671E-06        133.671E-06        133.671E-06  
              550.               121.519E-06        121.519E-06        121.519E-06        121.519E-06  
              553.               106.936E-06        106.937E-06        106.937E-06        106.937E-06  
              555.                97.215E-06         97.215E-06         97.215E-06         97.215E-06  
              560.                72.9112E-06        72.9112E-06        72.9113E-06        72.9113E-06 
              564.                53.4682E-06        53.4682E-06        53.4683E-06        53.4683E-06 
              565.                48.6075E-06        48.6075E-06        48.6075E-06        48.6075E-06 
              570.                24.3038E-06        24.3038E-06        24.3038E-06        24.3038E-06 
              575.                -3.63798E-12       -1.81899E-12     -909.495E-15       -454.747E-15  




