
                  X             E33_3D40N1F        E33_3D40N2F        E33_3D40N3F        E33_3D40N4F        E33_3D40N5F   
               39.6196          -279.135E-12         56.7118E-06        63.9517E-06        68.2602E-06        71.1241E-06 
               39.913            585.609E-12         57.1317E-06        64.4253E-06        68.7657E-06        71.6508E-06 
               40.1087             1.1621E-09        57.4116E-06        64.741E-06         69.1027E-06        72.002E-06  
               40.3533             1.88271E-09       57.7615E-06        65.1357E-06        69.524E-06         72.4409E-06 
               40.5                2.31509E-09       57.9714E-06        65.3726E-06        69.7768E-06        72.7043E-06 
               41.087              4.04456E-09       58.8111E-06        66.32E-06          70.7878E-06        73.7578E-06 
               41.6739             2.5464E-09        59.6513E-06        67.2671E-06        71.7989E-06        74.8113E-06 
               41.8207             2.17186E-09       59.8614E-06        67.5039E-06        72.0517E-06        75.0747E-06 
               42.0652             1.54763E-09       60.2115E-06        67.8985E-06        72.473E-06         75.5136E-06 
               42.2609             1.04824E-09       60.4916E-06        68.2143E-06        72.81E-06          75.8648E-06 
               42.5543           299.152E-12         60.9118E-06        68.688E-06         73.3156E-06        76.3916E-06 
               42.8478          -449.934E-12         61.3317E-06        69.1617E-06        73.8211E-06        76.9183E-06 
               43.0435          -949.322E-12         61.6117E-06        69.4775E-06        74.1582E-06        77.2695E-06 
               43.288             -1.57355E-09       61.9616E-06        69.8722E-06        74.5795E-06        77.7085E-06 
               43.4348            -1.9481E-09        62.1716E-06        70.109E-06         74.8323E-06        77.9719E-06 
               44.0217            -3.44626E-09       63.0114E-06        71.0562E-06        75.8434E-06        79.0254E-06 
               44.6087            -2.17349E-09       63.8516E-06        72.0036E-06        76.8545E-06        80.079E-06  
               44.7554            -1.8553E-09        64.0617E-06        72.2405E-06        77.1073E-06        80.3424E-06 
               45.                -1.32498E-09       64.4117E-06        72.6352E-06        77.5286E-06        80.7814E-06 
               45.1957          -900.727E-12         64.6918E-06        72.951E-06         77.8657E-06        81.1325E-06 
               45.4891          -264.339E-12         65.1119E-06        73.4246E-06        78.3712E-06        81.6593E-06 
               45.7826           372.04E-12          65.5319E-06        73.8982E-06        78.8768E-06        82.1861E-06 
               45.9783           796.296E-12         65.8119E-06        74.214E-06         79.2139E-06        82.5373E-06 
               46.2228             1.32662E-09       66.1619E-06        74.6087E-06        79.6352E-06        82.9763E-06 
               46.3696             1.64481E-09       66.3719E-06        74.8456E-06        79.888E-06         83.2397E-06 
               46.9565             2.91757E-09       67.2119E-06        75.793E-06         80.8991E-06        84.2933E-06 
               47.5435             1.84979E-09       68.052E-06         76.7403E-06        81.9103E-06        85.3469E-06 
               47.6902             1.58285E-09       68.2621E-06        76.9771E-06        82.1631E-06        85.6103E-06 
               47.9348             1.13794E-09       68.6121E-06        77.3718E-06        82.5844E-06        86.0493E-06 
               48.1304           782.01E-12          68.8922E-06        77.6876E-06        82.9215E-06        86.4005E-06 
               48.4239           248.124E-12         69.3122E-06        78.1613E-06        83.427E-06         86.9273E-06 
               48.7174          -285.769E-12         69.7323E-06        78.635E-06         83.9326E-06        87.4541E-06 
               48.913           -641.695E-12         70.0123E-06        78.9508E-06        84.2697E-06        87.8053E-06 
               49.1576            -1.0866E-09        70.3624E-06        79.3455E-06        84.691E-06         88.2443E-06 
               49.3043            -1.35355E-09       70.5724E-06        79.5824E-06        84.9438E-06        88.5077E-06 
               49.8913            -2.42133E-09       71.4126E-06        80.5297E-06        85.955E-06         89.5613E-06 
               50.4783            -1.54714E-09       72.2526E-06        81.4771E-06        86.9662E-06        90.6149E-06 
               50.625             -1.32859E-09       72.4626E-06        81.7139E-06        87.219E-06         90.8783E-06 
               50.8696          -964.344E-12         72.8126E-06        82.1087E-06        87.6403E-06        91.3173E-06 
               51.0652          -672.948E-12         73.0926E-06        82.4244E-06        87.9774E-06        91.6685E-06 
               51.3587          -235.85E-12          73.5126E-06        82.8981E-06        88.483E-06         92.1953E-06 
               51.6522           201.241E-12         73.9327E-06        83.3718E-06        88.9886E-06        92.7221E-06 
               51.8478           492.643E-12         74.2128E-06        83.6876E-06        89.3256E-06        93.0733E-06 
               52.0924           856.887E-12         74.5629E-06        84.0823E-06        89.747E-06         93.5123E-06 
               52.2391             1.07544E-09       74.773E-06         84.3192E-06        89.9997E-06        93.7757E-06 
               52.8261             1.94962E-09       75.6132E-06        85.2665E-06        91.0109E-06        94.8293E-06 
               53.413              1.25835E-09       76.4531E-06        86.2139E-06        92.0221E-06        95.8829E-06 
               53.5598             1.08553E-09       76.6631E-06        86.4507E-06        92.2749E-06        96.1464E-06 
               53.8043           797.503E-12         77.013E-06         86.8455E-06        92.6963E-06        96.5854E-06 
               54.               567.079E-12         77.293E-06         87.1613E-06        93.0333E-06        96.9366E-06 
               54.2935           221.44E-12          77.713E-06         87.6349E-06        93.5389E-06        97.4634E-06 
               54.587           -124.194E-12         78.1331E-06        88.1086E-06        94.0445E-06        97.9902E-06 
               54.7826          -354.618E-12         78.4133E-06        88.4244E-06        94.3816E-06        98.3414E-06 
               55.0272          -642.648E-12         78.7635E-06        88.8192E-06        94.8029E-06        98.7804E-06 
               55.1739          -815.467E-12         78.9735E-06        89.056E-06         95.0557E-06        99.0438E-06 
               55.7609            -1.50674E-09       79.8139E-06        90.0034E-06        96.0669E-06       100.097E-06  
               56.3478          -989.705E-12         80.6537E-06        90.9507E-06        97.0781E-06       101.151E-06  
               56.4946          -860.449E-12         80.8636E-06        91.1876E-06        97.3309E-06       101.414E-06  
               56.7391          -645.017E-12         81.2135E-06        91.5823E-06        97.7522E-06       101.853E-06  
               56.9348          -472.673E-12         81.4935E-06        91.8981E-06        98.0893E-06       102.205E-06  
               57.2283          -214.159E-12         81.9133E-06        92.3718E-06        98.5949E-06       102.731E-06  
               57.5217            44.3581E-12        82.3336E-06        92.8455E-06        99.1005E-06       103.258E-06  
               57.7174           216.702E-12         82.6138E-06        93.1613E-06        99.4376E-06       103.609E-06  
               57.962            432.131E-12         82.964E-06         93.556E-06         99.8589E-06       104.048E-06  
               58.1087           561.389E-12         83.1741E-06        93.7928E-06       100.112E-06        104.312E-06  
               58.6957             1.07842E-09       84.0147E-06        94.7402E-06       101.123E-06        105.366E-06  
               59.2826           729.736E-12         84.8543E-06        95.6876E-06       102.134E-06        106.419E-06  
               59.4293           642.564E-12         85.0642E-06        95.9244E-06       102.387E-06        106.683E-06  
               59.6739           497.279E-12         85.414E-06         96.3192E-06       102.808E-06        107.122E-06  
               59.8696           381.051E-12         85.6938E-06        96.6349E-06       103.145E-06        107.473E-06  
               60.163            206.708E-12         86.1137E-06        97.1086E-06       103.651E-06        108.E-06     
               60.4565            32.3662E-12        86.534E-06         97.5823E-06       104.156E-06        108.526E-06  
               60.6522           -83.862E-12         86.8142E-06        97.898E-06        104.493E-06        108.878E-06  
               60.8967          -229.149E-12         87.1645E-06        98.2928E-06       104.915E-06        109.317E-06  
               61.0435          -316.321E-12         87.3747E-06        98.5296E-06       105.168E-06        109.58E-06   
               61.6304          -665.006E-12         88.2154E-06        99.477E-06        106.179E-06        110.634E-06  
               62.2174          -480.265E-12         89.0548E-06       100.424E-06        107.19E-06         111.687E-06  
               62.3641          -434.08E-12          89.2646E-06       100.661E-06        107.443E-06        111.951E-06  
               62.6087          -357.105E-12         89.6144E-06       101.056E-06        107.864E-06        112.39E-06   
               62.8043          -295.524E-12         89.8942E-06       101.372E-06        108.201E-06        112.741E-06  
               63.0978          -203.153E-12         90.3139E-06       101.845E-06        108.707E-06        113.268E-06  
               63.3913          -110.784E-12         90.7343E-06       102.319E-06        109.212E-06        113.794E-06  
               63.587            -49.2033E-12        91.0146E-06       102.635E-06        109.549E-06        114.146E-06  
               63.8315            27.7717E-12        91.365E-06        103.03E-06         109.971E-06        114.584E-06  
               63.9783            73.9572E-12        91.5752E-06       103.266E-06        110.223E-06        114.848E-06  
               64.5652           258.698E-12         92.416E-06        104.214E-06        111.235E-06        115.901E-06  
               65.1522           235.879E-12         93.2552E-06       105.161E-06        112.246E-06        116.955E-06  
               65.2989           230.174E-12         93.465E-06        105.398E-06        112.499E-06        117.218E-06  
               65.5435           220.666E-12         93.8146E-06       105.793E-06        112.92E-06         117.657E-06  
               65.7391           213.06E-12          94.0943E-06       106.108E-06        113.257E-06        118.009E-06  
               66.0326           201.65E-12          94.5139E-06       106.582E-06        113.762E-06        118.535E-06  
               66.3261           190.241E-12         94.9344E-06       107.056E-06        114.268E-06        119.062E-06  
               66.5217           182.634E-12         95.2148E-06       107.371E-06        114.605E-06        119.413E-06  
               66.7663           173.126E-12         95.5653E-06       107.766E-06        115.026E-06        119.852E-06  
               66.913            167.422E-12         95.7755E-06       108.003E-06        115.279E-06        120.116E-06  
               67.5              144.603E-12         96.6166E-06       108.95E-06         116.29E-06         121.169E-06  
               68.087              5.68078E-12       97.4554E-06       109.897E-06        117.301E-06        122.223E-06  
               68.2337           -29.0488E-12        97.6651E-06       110.134E-06        117.554E-06        122.486E-06  
               68.4783           -86.9331E-12        98.0147E-06       110.529E-06        117.975E-06        122.925E-06  
               68.6739          -133.239E-12         98.2943E-06       110.845E-06        118.312E-06        123.276E-06  
               68.9674          -202.7E-12           98.7137E-06       111.318E-06        118.818E-06        123.803E-06  
               69.2609          -272.161E-12         99.1344E-06       111.792E-06        119.324E-06        124.33E-06   
               69.4565          -318.467E-12         99.4148E-06       112.108E-06        119.661E-06        124.681E-06  
               69.7011          -376.351E-12         99.7653E-06       112.503E-06        120.082E-06        125.12E-06   
               69.8478          -411.081E-12         99.9757E-06       112.739E-06        120.335E-06        125.383E-06  
               70.4348          -550.003E-12        100.817E-06        113.686E-06        121.346E-06        126.437E-06  
               71.0217          -247.399E-12        101.655E-06        114.634E-06        122.357E-06        127.49E-06   
               71.1685          -171.746E-12        101.865E-06        114.871E-06        122.609E-06        127.754E-06  
               71.413            -45.6627E-12       102.214E-06        115.265E-06        123.031E-06        128.192E-06  
               71.6087            55.2077E-12       102.494E-06        115.581E-06        123.368E-06        128.544E-06  
               71.9022           206.511E-12        102.913E-06        116.054E-06        123.873E-06        129.07E-06   
               72.1957           357.815E-12        103.334E-06        116.528E-06        124.379E-06        129.597E-06  
               72.3913           458.681E-12        103.614E-06        116.844E-06        124.716E-06        129.948E-06  
               72.6359           584.768E-12        103.965E-06        117.238E-06        125.137E-06        130.387E-06  
               72.7826           660.418E-12        104.175E-06        117.475E-06        125.39E-06         130.65E-06   
               73.3696           963.025E-12        105.017E-06        118.423E-06        126.401E-06        131.704E-06  
               73.9565           492.926E-12        105.855E-06        119.369E-06        127.411E-06        132.757E-06  
               74.1033           375.397E-12        106.064E-06        119.606E-06        127.664E-06        133.02E-06   
               74.3478           179.525E-12        106.414E-06        120.001E-06        128.085E-06        133.459E-06  
               74.5435            22.8211E-12       106.693E-06        120.316E-06        128.422E-06        133.81E-06   
               74.837           -212.232E-12        107.112E-06        120.79E-06         128.928E-06        134.337E-06  
               75.1304          -447.278E-12        107.533E-06        121.264E-06        129.433E-06        134.864E-06  
               75.3261          -603.982E-12        107.813E-06        121.58E-06         129.77E-06         135.215E-06  
               75.5707          -799.86E-12         108.164E-06        121.974E-06        130.191E-06        135.654E-06  
               75.7174          -917.383E-12        108.375E-06        122.211E-06        130.444E-06        135.917E-06  
               76.3043            -1.38748E-09      109.217E-06        123.157E-06        131.455E-06        136.97E-06   
               76.8913          -743.803E-12        110.054E-06        124.105E-06        132.466E-06        138.023E-06  
               77.038           -582.888E-12        110.263E-06        124.341E-06        132.718E-06        138.287E-06  
               77.2826          -314.687E-12        110.612E-06        124.736E-06        133.139E-06        138.725E-06  
               77.4783          -100.125E-12        110.891E-06        125.052E-06        133.476E-06        139.076E-06  
               77.7717           221.706E-12        111.31E-06         125.525E-06        133.982E-06        139.603E-06  
               78.0652           543.545E-12        111.731E-06        125.998E-06        134.487E-06        140.129E-06  
               78.2609           758.108E-12        112.012E-06        126.314E-06        134.824E-06        140.48E-06   
               78.5054             1.0263E-09       112.363E-06        126.708E-06        135.245E-06        140.919E-06  
               78.6522             1.18722E-09      112.573E-06        126.945E-06        135.497E-06        141.182E-06  
               79.2391             1.83089E-09      113.415E-06        127.892E-06        136.508E-06        142.235E-06  
               79.8261             1.00558E-09      114.252E-06        128.838E-06        137.518E-06        143.288E-06  
               79.9728           799.257E-12        114.461E-06        129.075E-06        137.771E-06        143.551E-06  
               80.2174           455.374E-12        114.809E-06        129.469E-06        138.192E-06        143.99E-06   
               80.413            180.277E-12        115.088E-06        129.785E-06        138.529E-06        144.341E-06  
               80.7065          -232.38E-12         115.506E-06        130.258E-06        139.034E-06        144.867E-06  
               81.              -645.037E-12        115.928E-06        130.732E-06        139.539E-06        145.394E-06  
               81.1957          -920.146E-12        116.209E-06        131.048E-06        139.876E-06        145.745E-06  
               81.4402            -1.26402E-09      116.56E-06         131.442E-06        140.297E-06        146.183E-06  
               81.587             -1.47035E-09      116.77E-06         131.678E-06        140.549E-06        146.446E-06  
               82.1739            -2.29566E-09      117.613E-06        132.624E-06        141.56E-06         147.499E-06  
               82.7609            -1.27849E-09      118.448E-06        133.571E-06        142.57E-06         148.551E-06  
               82.9076            -1.0242E-09       118.657E-06        133.808E-06        142.822E-06        148.815E-06  
               83.1522          -600.382E-12        119.005E-06        134.202E-06        143.243E-06        149.253E-06  
               83.3478          -261.335E-12        119.283E-06        134.517E-06        143.58E-06         149.604E-06  
               83.6413           247.248E-12        119.701E-06        134.99E-06         144.085E-06        150.13E-06   
               83.9348           755.832E-12        120.122E-06        135.463E-06        144.589E-06        150.656E-06  
               84.1304             1.09488E-09      120.403E-06        135.778E-06        144.926E-06        151.007E-06  
               84.375              1.5187E-09       120.755E-06        136.172E-06        145.347E-06        151.445E-06  
               84.5217             1.77299E-09      120.966E-06        136.409E-06        145.599E-06        151.708E-06  
               85.1087             2.79015E-09      121.809E-06        137.356E-06        146.609E-06        152.76E-06   
               85.6957             1.56794E-09      122.642E-06        138.3E-06          147.618E-06        153.812E-06  
               85.8424             1.26239E-09      122.85E-06         138.536E-06        147.87E-06         154.075E-06  
               86.087            753.133E-12        123.198E-06        138.93E-06         148.291E-06        154.513E-06  
               86.2826           345.739E-12        123.476E-06        139.245E-06        148.627E-06        154.863E-06  
               86.5761          -265.368E-12        123.892E-06        139.719E-06        149.132E-06        155.389E-06  
               86.8696          -876.475E-12        124.314E-06        140.192E-06        149.636E-06        155.915E-06  
